City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Minab,IR,27.15,57.08,68.0,94,0,4.7,mist
148,Sokoto,NG,13.06,5.24,82.2,30,13,7.11,few clouds
149,Gazojak,TM,41.19,61.4,47.17,46,100,5.46,overcast clouds
150,Pokrovsk,UA,48.28,37.18,45.09,89,98,6.15,overcast clouds
151,Provost,CA,52.35,-110.27,44.6,65,80,10.29,broken clouds
152,Juneau,US,58.3,-134.42,30.0,68,40,8.05,scattered clouds
153,Pitsunda,GE,43.16,40.34,59.0,93,90,4.47,overcast clouds
154,Fare,PF,-16.7,-151.02,80.47,78,2,17.54,light rain
155,Qaanaaq,GL,77.48,-69.36,-7.56,81,72,5.91,broken clouds
156,Ostrovnoy,RU,68.05,39.51,36.57,94,100,8.99,light rain
157,Rio Gallegos,AR,-51.62,-69.22,51.8,40,0,23.04,clear sky
158,Necochea,AR,-38.55,-58.74,63.0,47,69,1.01,light rain
159,Aksarka,RU,66.56,67.8,26.78,98,100,13.04,snow
160,Saint-Paul,RE,-21.01,55.27,71.6,68,90,12.75,overcast clouds
161,Lac Du Bonnet,CA,50.25,-96.06,46.99,75,100,12.75,overcast clouds
162,Jacareacanga,BR,-6.22,-57.75,81.28,73,55,2.04,broken clouds
163,Constitucion,CL,-35.33,-72.42,60.08,61,0,17.85,clear sky
164,Paamiut,GL,61.99,-49.67,25.38,88,36,16.58,scattered clouds
165,Tiradentes,BR,-21.11,-44.18,66.2,77,75,6.93,broken clouds
166,Thompson,CA,55.74,-97.86,8.6,84,90,8.05,light snow
167,Kirakira,SB,-10.45,161.92,85.62,62,88,0.4,overcast clouds
168,Bauta,CU,22.98,-82.55,78.8,78,75,11.41,broken clouds
169,Liepaja,LV,56.54,21.04,51.8,93,100,12.75,overcast clouds
170,Bolobo,CD,-2.17,16.23,73.18,94,100,5.7,overcast clouds
171,Christchurch,NZ,-43.53,172.63,59.0,82,100,11.41,overcast clouds
172,Clearlake,US,38.96,-122.63,82.99,22,0,1.01,clear sky
173,Domazlice,CZ,49.44,12.93,36.0,93,0,1.41,clear sky
174,Yatou,CN,37.15,122.38,58.95,77,100,13.69,overcast clouds
175,Faanui,PF,-16.48,-151.75,79.59,81,1,17.78,clear sky
176,Katsuura,JP,35.13,140.3,55.4,62,75,8.05,broken clouds
177,Zwedru,LR,6.07,-8.13,73.24,96,98,1.3,light rain
178,Butaritari,KI,3.07,172.79,82.06,77,47,8.55,scattered clouds
179,Mareeba,AU,-17.0,145.43,82.99,61,19,8.05,few clouds
180,Nouadhibou,MR,20.93,-17.03,69.8,77,46,6.93,scattered clouds
181,Tiksi,RU,71.69,128.87,9.3,96,100,7.7,overcast clouds
182,Moron,AR,-34.65,-58.62,71.01,45,0,1.99,clear sky
183,Ukiah,US,39.15,-123.21,84.2,25,1,8.23,clear sky
184,Copiapo,CL,-27.37,-70.33,60.8,72,40,10.29,scattered clouds
185,Sokoni,TZ,-6.43,39.55,73.4,88,20,5.82,few clouds
186,Ambunti,PG,-4.24,142.84,73.56,99,100,1.3,moderate rain
187,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,78,40,9.17,scattered clouds
188,Ancud,CL,-41.87,-73.82,57.99,58,90,10.29,overcast clouds
189,Erzin,TR,36.96,36.2,64.99,73,58,3.24,broken clouds
190,Zavet,BG,43.77,26.67,44.92,82,100,5.53,overcast clouds
191,Banjar,ID,-8.19,114.97,76.59,74,4,4.92,clear sky
192,Dawlatabad,AF,36.41,64.91,44.17,59,91,1.14,overcast clouds
193,Panzhihua,CN,26.59,101.71,59.85,80,6,0.76,clear sky
194,Comodoro Rivadavia,AR,-45.87,-67.5,71.6,28,75,18.34,broken clouds
195,Yangambi,CD,0.81,24.43,69.42,99,99,1.68,moderate rain
196,Brainerd,US,46.36,-94.2,59.0,41,1,8.05,clear sky
197,Kapaa,US,22.08,-159.32,82.4,78,1,12.75,light rain
198,Golaghat,IN,26.52,93.97,64.72,95,5,0.6,clear sky
199,Taltal,CL,-25.4,-70.48,64.53,57,22,6.31,few clouds
200,Matamoros,MX,25.53,-103.25,82.4,15,20,9.08,few clouds
201,Mehamn,NO,71.04,27.85,39.2,86,90,8.05,overcast clouds
202,Westport,US,41.14,-73.36,60.8,77,1,9.17,clear sky
203,Marsh Harbour,BS,26.54,-77.06,78.08,78,38,25.66,light rain
204,Virar,IN,19.47,72.8,78.8,57,0,5.82,smoke
205,Brae,GB,60.4,-1.35,51.8,76,100,32.21,overcast clouds
206,Cayenne,GF,4.93,-52.33,77.0,100,96,3.36,moderate rain
207,Cherskiy,RU,68.75,161.3,24.84,93,100,21.56,overcast clouds
208,Bengkulu,ID,-3.8,102.27,76.03,86,97,3.87,overcast clouds
209,Kozhva,RU,65.11,57.05,36.99,96,100,9.55,light rain
210,Bathsheba,BB,13.22,-59.52,80.6,83,75,18.34,shower rain
211,Praya,CV,14.92,-23.51,77.0,83,40,3.36,scattered clouds
212,Energeticheskiy,KZ,43.43,77.02,28.4,74,22,4.47,smoke
213,Jiuquan,CN,39.74,98.52,27.68,87,0,0.94,clear sky
214,Mattru,SL,7.62,-11.83,75.38,93,38,2.15,scattered clouds
215,Urucara,BR,-2.54,-57.76,87.13,53,70,1.19,broken clouds
216,Mount Isa,AU,-20.73,139.5,75.2,16,0,10.29,clear sky
217,Lamu,KE,-2.27,40.9,78.8,83,75,5.82,haze
218,Santiago,CL,-33.46,-70.65,80.01,29,0,6.93,clear sky
219,Alice Springs,AU,-23.7,133.88,64.4,23,11,10.29,few clouds
220,Ondangwa,NA,-17.92,15.95,80.6,10,0,6.93,clear sky
221,Kidal,ML,18.44,1.41,79.32,21,0,6.96,clear sky
222,Ghansor,IN,22.65,79.95,58.73,45,0,1.57,clear sky
223,Quatre Cocos,MU,-20.21,57.76,73.4,78,40,6.93,scattered clouds
224,Beni Suef,EG,29.07,31.1,61.03,76,0,5.99,clear sky
225,Raga,SS,8.46,25.68,75.06,47,89,2.64,overcast clouds
226,Arraial Do Cabo,BR,-22.97,-42.03,69.8,88,40,9.17,scattered clouds
227,Esperance,AU,-33.87,121.9,51.8,87,98,6.93,overcast clouds
228,Ca Mau,VN,9.18,105.15,75.02,93,80,2.21,broken clouds
229,Liverpool,GB,53.41,-2.98,51.01,93,90,3.36,overcast clouds
230,Hamilton,US,39.18,-84.53,63.0,55,1,6.93,clear sky
231,Camacupa,AO,-12.02,17.48,65.19,77,14,3.47,few clouds
232,Anadyr,RU,64.75,177.48,37.4,93,75,20.13,light rain
233,Dharchula,IN,29.85,80.53,50.54,45,0,4.54,clear sky
234,Sola,VU,-13.88,167.55,87.8,74,75,5.82,broken clouds
235,Naze,JP,28.37,129.48,77.0,78,75,17.22,broken clouds
236,Starodzhereliyevskaya,RU,45.48,38.3,48.22,66,0,9.08,clear sky
237,Chokurdakh,RU,70.63,147.92,2.93,95,97,9.86,overcast clouds
238,Gorom-Gorom,BF,14.44,-0.24,86.25,23,95,7.63,overcast clouds
239,Abu Dhabi,AE,24.47,54.37,75.2,83,0,2.24,clear sky
240,Bandarbeyla,SO,9.49,50.81,73.76,70,27,5.93,scattered clouds
241,Sant Feliu De Guixols,ES,41.78,3.03,60.01,51,100,6.98,overcast clouds
242,Dong Hoi,VN,17.48,106.6,73.6,91,100,12.66,light rain
243,Medowie,AU,-32.73,151.87,64.0,67,75,17.22,broken clouds
244,Klaksvik,FO,62.23,-6.59,48.2,100,100,17.22,mist
245,Naryan-Mar,RU,67.67,53.09,35.08,97,100,5.57,overcast clouds
246,Moosomin,CA,50.13,-101.67,65.19,38,79,22.26,broken clouds
247,West Wendover,US,40.74,-114.07,60.8,29,1,4.9,clear sky
248,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,35.6,85,40,4.47,scattered clouds
249,Bonfim,BR,3.08,-59.95,79.18,73,95,2.48,overcast clouds
250,Palana,RU,59.12,159.97,27.75,96,100,10.76,overcast clouds
251,Cabra,ES,37.47,-4.44,59.0,87,0,8.05,clear sky
252,Adrar,MR,20.5,-10.07,85.93,16,54,9.51,broken clouds
253,Albert Lea,US,43.65,-93.37,68.0,34,1,3.36,clear sky
254,Husavik,IS,66.04,-17.34,46.4,49,75,19.46,light intensity drizzle
255,Belyy Yar,RU,53.6,91.39,37.4,59,0,17.9,clear sky
256,Puerto El Triunfo,SV,13.28,-88.55,78.8,94,40,6.82,scattered clouds
257,Sambava,MG,-14.27,50.17,73.96,87,89,9.37,light rain
258,Orange Cove,US,36.62,-119.31,75.2,36,1,2.01,haze
259,Bosobolo,CD,4.18,19.9,70.81,97,90,3.4,overcast clouds
260,Luba,GQ,3.46,8.55,78.8,100,20,6.73,few clouds
261,Birin,NP,26.89,88.07,49.44,94,2,3.51,clear sky
262,Tavda,RU,58.04,65.27,35.42,90,90,8.59,overcast clouds
263,San Jose,US,37.34,-121.89,81.0,44,40,11.41,scattered clouds
264,Simao,CN,22.79,100.97,62.13,92,71,0.98,broken clouds
265,Panguna,PG,-6.32,155.48,77.97,75,91,2.89,overcast clouds
266,Dingle,PH,11.0,122.67,74.39,89,27,4.5,scattered clouds
267,Karla,EE,59.37,24.93,51.01,87,0,16.11,clear sky
268,Chapais,CA,49.78,-74.85,44.6,87,90,5.82,overcast clouds
269,Havre-Saint-Pierre,CA,50.23,-63.6,37.4,100,90,6.93,mist
270,Launceston,AU,-41.45,147.17,59.0,62,40,17.22,scattered clouds
271,Swanzey,US,42.87,-72.28,55.0,66,1,8.9,clear sky
272,Troy,US,42.61,-83.15,63.0,59,100,1.01,overcast clouds
273,Barra Do Corda,BR,-5.5,-45.25,79.16,83,94,8.34,moderate rain
274,Nautanwa,IN,27.43,83.42,62.51,73,0,1.45,clear sky
275,Bonavista,CA,48.65,-53.11,32.0,86,24,5.82,few clouds
276,Northfield,US,44.46,-93.16,66.2,37,1,4.7,clear sky
277,Soke,ML,13.6,-5.94,83.82,29,0,2.98,clear sky
278,Madimba,TZ,-10.4,40.33,73.4,88,20,7.14,few clouds
279,Caconda,AO,-13.73,15.07,62.1,86,78,4.21,broken clouds
280,Pitimbu,BR,-7.47,-34.81,78.8,83,20,6.93,few clouds
281,Marovoay,MG,-16.1,46.63,77.0,88,40,1.12,scattered clouds
282,Spearfish,US,44.49,-103.86,73.4,20,1,3.4,clear sky
283,Broome,US,42.25,-75.83,60.8,38,1,9.17,clear sky
284,Malanville,BJ,11.87,3.39,84.04,29,43,8.39,scattered clouds
