City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Pitimbu,BR,78.8,few clouds,-7.47,-34.81,Reserva do Abiaí
282,Spearfish,US,73.4,clear sky,44.49,-103.86,Travelodge by Wyndham Spearfish
284,Malanville,BJ,84.04,scattered clouds,11.87,3.39,DEVO HOTEL
286,Bairiki,KI,86.0,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
289,Bata,GQ,77.54,overcast clouds,1.86,9.77,Hotel Carmen
298,Tomatlan,MX,86.31,few clouds,19.93,-105.25,Norma franco
299,Bodden Town,KY,79.0,overcast clouds,19.28,-81.25,Will T Place
301,Porto Novo,BJ,84.2,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
304,Palu,ID,75.45,overcast clouds,-0.89,119.87,Hotel Santika Palu
306,Pacific Grove,US,81.0,clear sky,36.62,-121.92,Lovers Point Inn
311,Padang,ID,77.9,moderate rain,-0.95,100.35,Mercure Padang
312,Ternate,ID,81.46,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
313,Port Hedland,AU,73.4,clear sky,-20.32,118.57,The Esplanade Hotel
314,Palauig,PH,79.32,overcast clouds,15.44,119.9,Myhousebythesea
317,Jibuti,DJ,78.8,few clouds,11.5,42.5,Orchid Main Camp Goubet
319,Belmonte,BR,71.6,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
323,Tual,ID,82.35,scattered clouds,-5.67,132.75,Grand Vilia Hotel
324,Tawau,MY,75.2,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
328,Matara,LK,77.09,light rain,5.95,80.54,Amaloh Boutique Resort
334,Tonantins,BR,83.34,light rain,-2.87,-67.8,Hotel Rei Davi
341,Sikonge,TZ,77.0,scattered clouds,-5.63,32.77,Daukilo Lodge
344,Carutapera,BR,80.42,overcast clouds,-1.2,-46.02,Lidera
347,Tulum,MX,80.6,broken clouds,20.22,-87.47,Kin Ha
349,Caucaia,BR,81.0,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
351,Indianola,US,73.0,few clouds,41.36,-93.56,Quality Inn Indianola
353,San Patricio,US,80.6,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
355,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
365,Manicore,BR,78.8,heavy intensity rain,-5.81,-61.3,Pousada da wanda
366,Jeremie,HT,80.4,overcast clouds,18.65,-74.12,Auberge’Inn
372,Vao,NC,74.79,clear sky,-22.67,167.48,Hotel Kou-Bugny
373,Houma,US,75.0,scattered clouds,29.6,-90.72,Courtyard by Marriott Houma
377,Santa Rosa,PH,78.8,broken clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
384,El Tigre,VE,81.28,scattered clouds,8.89,-64.25,Hotel Santa Cruz
386,Guymon,US,78.8,clear sky,36.68,-101.48,Super 8 Guymon
387,Atar,MR,85.21,overcast clouds,20.52,-13.05,Oumou Elghoura
393,Tucumcari,US,80.6,clear sky,35.17,-103.72,Holiday Inn Express & Suites Tucumcari
394,Noumea,NC,82.4,clear sky,-22.28,166.46,Hôtel Le Lagon
401,Vila Velha,BR,79.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
402,Gillette,US,75.2,clear sky,44.29,-105.5,National 9 Inn - Gillette WY
403,Santa Ana,US,93.2,broken clouds,33.75,-117.87,Best Western Plus Orange County Airport North
405,Morondava,MG,74.53,few clouds,-20.28,44.28,La Case Bambou
406,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
407,Teacapan,MX,85.73,scattered clouds,22.55,-105.75,Hotel los Mangos
411,Axim,GH,79.79,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
417,Parana,AR,80.01,clear sky,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
419,Corrales,US,77.0,clear sky,35.24,-106.61,Hilton Garden Inn Albuquerque North/Rio Rancho
424,Pyay,MM,73.38,clear sky,18.82,95.22,Shwe Pyi Thar
426,Kununurra,AU,80.6,few clouds,-15.77,128.73,Hotel Kununurra
427,Namibe,AO,70.74,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
429,Bubaque,GW,84.09,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
430,Laguna,US,82.99,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
437,Alyangula,AU,84.2,broken clouds,-13.85,136.42,Groote Eylandt Lodge
438,Jieshi,CN,71.01,clear sky,22.81,115.83,Yuehai Hotel
441,Maragogi,BR,77.27,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
442,Iberia,US,73.4,clear sky,29.95,-91.75,back to back rv park
447,San Quintin,MX,78.42,broken clouds,30.48,-115.95,Old Mill Hotel
452,Sungairaya,ID,77.38,heavy intensity rain,0.7,108.9,808 artel
453,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
454,Bentiu,SS,77.63,overcast clouds,9.23,29.83,Mandela hôtel
455,The Valley,AI,81.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
457,Phalombe,MW,76.06,clear sky,-15.81,35.65,RIVONIA
458,Wamba,NG,77.61,broken clouds,8.93,8.6,Roma Zee Guest House Annex
460,Santa Luzia,BR,78.8,few clouds,-19.77,-43.85,Pousada Chao Earth
461,Sao Francisco,BR,74.48,scattered clouds,-15.95,-44.86,Pousada Peixe Vivo
463,Namatanai,PG,83.68,light rain,-3.67,152.43,Namatanai Hotel
466,Kahului,US,91.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
467,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
469,Shoranur,IN,75.2,thunderstorm,10.77,76.28,CT Tourist Home Hotel
470,Chiredzi,ZW,71.38,light rain,-21.05,31.67,The Nesbitt Arms
474,Coahuayana,MX,89.6,scattered clouds,18.73,-103.68,Hotel Los Arcos
475,Olinda,BR,82.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
477,Waingapu,ID,80.55,clear sky,-9.66,120.26,Pondok Wisata Elim
481,Russell,US,73.4,clear sky,32.35,-85.2,Macs
485,Pampa,US,80.6,clear sky,35.54,-100.96,Holiday Inn Express & Suites Pampa
486,Rajpipla,IN,71.31,clear sky,21.87,73.5,Government Guest House
487,Cocobeach,GA,80.6,few clouds,1.0,9.58,Hôtel A Cocobeach
489,Coruripe,BR,77.9,broken clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
