City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Cairns,AU,2020-11-04 01:13:21,-16.92,145.77,88.0,45,66,13.87
191,Alofi,NU,2020-11-04 01:13:21,-19.06,-169.92,80.6,69,40,21.92
192,Hobart,AU,2020-11-04 01:09:20,-42.88,147.33,73.4,43,75,17.22
193,Bacalar,MX,2020-11-04 01:13:23,18.67,-88.38,75.2,94,90,9.17
194,Ilulissat,GL,2020-11-04 01:13:23,69.22,-51.1,37.4,74,100,8.05
195,Lamu,KE,2020-11-04 01:13:23,-2.27,40.9,77.0,88,90,10.22
196,Ponta Delgada,PT,2020-11-04 01:11:39,37.73,-25.67,57.2,76,75,8.05
197,Bela,IN,2020-11-04 01:13:23,25.93,81.98,63.59,34,0,4.92
198,Prince Rupert,CA,2020-11-04 01:11:08,54.32,-130.32,44.6,93,75,3.36
199,Gilgit,PK,2020-11-04 01:13:23,35.92,74.31,48.99,38,0,4.41
200,Svetlogorsk,BY,2020-11-04 01:13:24,52.63,29.73,41.05,93,37,4.83
201,Tazovskiy,RU,2020-11-04 01:13:24,67.47,78.7,8.89,96,100,6.82
202,Morondava,MG,2020-11-04 01:13:24,-20.28,44.28,76.06,79,0,5.93
203,Saldanha,ZA,2020-11-04 01:13:00,-33.01,17.94,59.0,93,34,3.36
204,Kaeo,NZ,2020-11-04 01:13:24,-35.1,173.78,69.01,86,100,8.99
205,Alekseyevsk,RU,2020-11-04 01:13:24,57.84,108.35,25.2,96,100,8.1
206,Lerwick,GB,2020-11-04 01:13:24,60.15,-1.15,46.4,70,100,23.04
207,Brae,GB,2020-11-04 01:13:24,60.4,-1.35,46.4,70,100,23.04
208,Laguna De Perlas,NI,2020-11-04 01:13:24,12.34,-83.67,74.98,91,100,26.44
209,Vanimo,PG,2020-11-04 01:13:24,-2.67,141.3,87.89,62,100,7.54
210,Rincon,US,2020-11-04 01:13:25,32.3,-81.24,53.6,66,1,3.36
211,Tiksi,RU,2020-11-04 01:13:25,71.69,128.87,9.68,96,100,5.68
212,Sabha,LY,2020-11-04 01:13:25,27.04,14.43,61.86,46,0,7.67
213,Tutoia,BR,2020-11-04 01:13:25,-2.76,-42.27,80.33,83,21,11.01
214,Dingle,PH,2020-11-04 01:13:25,11.0,122.67,82.22,80,100,4.05
215,Niamtougou,TG,2020-11-04 01:13:25,9.77,1.11,73.4,64,100,4.7
216,Lugazi,UG,2020-11-04 01:13:25,0.38,32.92,64.06,96,89,1.12
217,Poum,NC,2020-11-04 01:13:25,-20.23,164.02,77.29,78,100,7.07
218,Provideniya,RU,2020-11-04 01:13:25,64.38,-173.3,17.31,84,0,7.43
219,Luangwa,ZM,2020-11-04 01:13:26,-15.62,30.42,77.5,59,74,3.53
220,Leningradskiy,RU,2020-11-04 01:13:26,69.38,178.42,5.9,85,1,15.32
221,Arraial Do Cabo,BR,2020-11-04 01:13:26,-22.97,-42.03,69.1,78,100,16.24
222,Johnson City,US,2020-11-04 01:13:26,36.31,-82.35,48.2,67,1,2.42
223,Tucurui,BR,2020-11-04 01:13:26,-3.77,-49.67,75.06,92,100,2.33
224,Sitka,US,2020-11-04 01:10:06,57.05,-135.33,35.6,93,90,6.93
225,Bom Jesus,BR,2020-11-04 01:13:26,-9.07,-44.36,72.59,92,90,2.93
226,Hervey Bay,AU,2020-11-04 01:10:54,-25.3,152.85,80.6,42,75,5.82
227,Kiunga,PG,2020-11-04 01:13:27,-6.12,141.29,73.99,98,100,2.42
228,Ulladulla,AU,2020-11-04 01:11:55,-35.35,150.47,78.01,47,0,9.17
229,Marzuq,YE,2020-11-04 01:13:27,14.4,46.47,57.52,34,0,2.24
230,Cockburn Town,TC,2020-11-04 01:13:27,21.46,-71.14,81.75,78,100,17.94
231,Tura,IN,2020-11-04 01:13:27,25.52,90.22,65.71,73,0,1.72
232,Rocha,UY,2020-11-04 01:13:27,-34.48,-54.33,51.73,93,0,5.12
233,Bathsheba,BB,2020-11-04 01:13:27,13.22,-59.52,80.6,74,40,17.22
234,Maceio,BR,2020-11-04 01:13:27,-9.67,-35.74,77.0,88,0,10.29
235,Pampa,US,2020-11-04 01:13:28,35.54,-100.96,66.2,45,1,10.29
236,San Marco In Lamis,IT,2020-11-04 01:13:28,41.71,15.64,52.0,87,20,4.7
237,Port-Gentil,GA,2020-11-04 01:13:28,-0.72,8.78,79.61,83,4,9.22
238,Belmonte,BR,2020-11-04 01:13:28,-15.86,-38.88,68.0,94,90,5.82
239,Kabompo,ZM,2020-11-04 01:13:28,-13.59,24.2,63.63,93,100,4.99
240,Beian,NO,2020-11-04 01:13:28,63.66,9.57,42.8,75,40,9.17
241,Aljezur,PT,2020-11-04 01:13:28,37.32,-8.8,56.44,73,0,11.48
242,Aguimes,ES,2020-11-04 01:13:29,27.91,-15.45,69.8,77,20,19.46
243,Krutinka,RU,2020-11-04 01:13:29,56.01,71.51,29.55,92,100,15.66
244,Katsuura,JP,2020-11-04 01:13:29,35.13,140.3,63.0,38,17,10.65
245,Elbistan,TR,2020-11-04 01:13:29,38.21,37.2,49.91,82,100,1.57
246,Naze,JP,2020-11-04 01:13:29,28.37,129.48,69.8,59,75,17.22
247,Vila Franca Do Campo,PT,2020-11-04 01:13:29,37.72,-25.43,57.2,76,75,8.05
248,San Ignacio,BZ,2020-11-04 01:13:29,17.16,-89.07,73.4,88,75,11.41
249,Veinticinco De Mayo,AR,2020-11-04 01:13:29,-35.43,-60.17,64.99,74,100,4.0
250,Fukue,JP,2020-11-04 01:13:29,32.69,128.84,53.6,58,20,19.46
251,Council Bluffs,US,2020-11-04 01:10:57,41.26,-95.86,68.0,34,1,11.41
252,Henties Bay,NA,2020-11-04 01:13:30,-22.12,14.28,57.99,91,0,0.34
253,Hammerfest,NO,2020-11-04 01:13:30,70.66,23.68,41.0,74,0,20.8
254,Lodja,CD,2020-11-04 01:13:30,-3.48,23.43,70.57,92,93,1.95
255,Necochea,AR,2020-11-04 01:08:42,-38.55,-58.74,63.0,70,53,14.0
256,High Level,CA,2020-11-04 01:13:30,58.52,-117.14,17.6,85,90,10.29
257,Angoram,PG,2020-11-04 01:13:30,-4.06,144.07,81.25,92,100,4.9
258,Zabaykalsk,RU,2020-11-04 01:13:30,49.63,117.32,22.71,91,97,9.75
259,Palmer,US,2020-11-04 01:13:30,42.16,-72.33,30.2,68,20,1.61
260,Tubuala,PA,2020-11-04 01:13:31,9.52,-79.03,80.6,74,75,11.41
261,Qasigiannguit,GL,2020-11-04 01:13:31,68.82,-51.19,37.4,74,100,8.05
262,Pekalongan,ID,2020-11-04 01:10:34,-6.89,109.68,75.99,67,92,3.42
263,Mahanje,TZ,2020-11-04 01:13:31,-9.93,35.33,62.04,73,0,4.07
264,Coquimbo,CL,2020-11-04 01:13:31,-29.95,-71.34,53.6,93,90,5.82
265,Kahului,US,2020-11-04 01:12:38,20.89,-156.47,89.6,55,40,17.22
266,Mareeba,AU,2020-11-04 01:13:31,-17.0,145.43,88.0,45,57,13.87
267,Mbandaka,CD,2020-11-04 01:13:31,0.05,18.26,71.96,95,90,0.56
268,Sur,OM,2020-11-04 01:13:32,22.57,59.53,67.87,44,0,4.03
269,Balabac,PH,2020-11-04 01:13:32,7.99,117.06,83.44,76,100,11.45
270,Aleppo,SY,2020-11-04 01:13:32,36.25,37.5,61.23,62,100,7.25
271,Kodiak,US,2020-11-04 01:13:22,57.79,-152.41,30.2,33,1,19.46
272,Liverpool,GB,2020-11-04 01:10:37,53.41,-2.98,44.01,93,40,2.24
273,Isangel,VU,2020-11-04 01:12:59,-19.55,169.27,77.29,81,100,12.48
274,Kumbo,CM,2020-11-04 01:13:32,6.2,10.67,60.06,89,99,0.45
275,Kutum,SD,2020-11-04 01:13:32,14.2,24.67,68.05,29,0,12.95
276,Edson,CA,2020-11-04 01:10:36,53.58,-116.44,48.2,77,90,4.7
277,Mizan Teferi,ET,2020-11-04 01:13:32,6.98,35.58,60.35,80,0,3.15
278,Magadan,RU,2020-11-04 01:13:33,59.57,150.8,33.98,92,100,7.49
279,Dicabisagan,PH,2020-11-04 01:13:33,17.08,122.42,77.95,84,100,10.76
280,Storforshei,NO,2020-11-04 01:13:33,66.4,14.52,41.0,93,100,10.6
281,Valparaiso,CL,2020-11-04 01:13:33,-33.04,-71.63,53.6,93,75,13.87
282,Camacupa,AO,2020-11-04 01:13:33,-12.02,17.48,63.93,94,97,2.73
283,Andros Town,BS,2020-11-04 01:13:33,24.7,-77.77,77.0,65,75,18.34
284,Ploemeur,FR,2020-11-04 01:13:33,47.73,-3.43,41.0,93,75,3.36
285,Vila Velha,BR,2020-11-04 01:12:00,-20.33,-40.29,68.0,88,75,2.24
286,Borovoy,RU,2020-11-04 01:13:34,55.43,86.08,26.6,92,90,8.95
287,Vinh Long,VN,2020-11-04 01:13:34,10.25,105.97,80.6,94,20,6.93
288,Skogn,NO,2020-11-04 01:13:34,63.7,11.2,46.4,52,0,24.16
289,Qaanaaq,GL,2020-11-04 01:13:34,77.48,-69.36,0.01,78,2,2.21
290,Padang,ID,2020-11-04 01:13:34,-0.95,100.35,76.73,76,100,7.56
291,Abu Samrah,SY,2020-11-04 01:13:34,35.3,37.18,62.69,77,100,10.45
292,Saint-Louis,SN,2020-11-04 01:13:34,16.33,-15.0,78.8,50,0,6.51
293,Talaya,RU,2020-11-04 01:13:35,61.38,152.75,11.16,93,100,9.69
294,Rondonopolis,BR,2020-11-04 01:08:40,-16.47,-54.64,78.82,45,35,5.57
295,Vestmannaeyjar,IS,2020-11-04 01:13:35,63.44,-20.27,44.1,77,100,8.5
296,Christchurch,NZ,2020-11-04 01:08:44,-43.53,172.63,69.8,60,0,11.41
297,Tuy Hoa,VN,2020-11-04 01:13:35,13.08,109.3,76.68,83,100,8.81
298,Lyuban,BY,2020-11-04 01:13:35,52.8,28.0,44.65,86,99,5.79
299,Hit,IQ,2020-11-04 01:13:35,33.64,42.83,68.11,32,0,3.83
300,Vanavara,RU,2020-11-04 01:13:35,60.34,102.28,19.44,97,100,7.29
301,Sao Francisco,BR,2020-11-04 01:13:35,-15.95,-44.86,67.59,88,84,4.99
302,Mut,TR,2020-11-04 01:13:36,36.64,33.44,56.73,72,100,0.69
303,Batagay-Alyta,RU,2020-11-04 01:13:36,67.8,130.41,-4.45,91,9,0.45
304,Thiruvananthapuram,IN,2020-11-04 01:10:03,8.48,76.92,80.6,83,20,2.84
